mH,ltime,theta
0.0846220425952921,0.35916771034768724,1e-05
0.092052857783564,0.3294255839307028,1e-05
0.1001361863438698,0.30036039357152455,1e-05
0.1089293266600201,0.2749441416208153,1e-05
0.1184946085909309,0.25217643956380276,1e-05
0.1288998352935868,0.23129409594323863,1e-05
0.1402187638432814,0.2125606248314873,1e-05
0.1525316280579929,0.19418978951765553,1e-05
0.1659257072329173,0.17740667813150546,1e-05
0.1804959448166141,0.16303777318278628,1e-05
0.1963456214142268,0.14777428858688355,1e-05
0.210343381859932,0.1222396417692807,1e-05
0.2114191060932677,0.06816713761157997,1e-05
0.2135870868883383,0.04260669627258973,1e-05
0.2135870868883383,0.02641104301722686,1e-05
0.2130430163507571,0.015882605182492328,1e-05
0.2152276494073769,0.010145304859170381,1e-05
0.2146793998637299,0.005991480586908947,1e-05
0.2171575722662782,0.003515901480190192,1e-05
0.216880813087928,0.0021020002479467735,1e-05
0.2164663355283826,0.0013984799113024558,1e-05
0.2190249810926667,0.0008073716620578508,1e-05
0.217989970620346,0.0004522820363478399,1e-05
0.2202253318351193,0.00024287654018743796,1e-05
0.2227675242394312,0.00013572093708009796,1e-05
0.2262028219519223,8.623763882877899e-05,1e-05
0.2307921737979975,5.321996136522099e-05,1e-05
0.2401142671296253,3.0457432130841994e-05,1e-05
0.2556625645520363,1.7777457323333993e-05,1e-05
0.2718014080458219,1.1082324530986e-05,1e-05
0.2781127584906486,6.320269472219999e-06,1e-05
0.2822472315755254,3.768321539740999e-06,1e-05
0.2920914007317952,2.1712280765139998e-06,1e-05
0.308672360774097,1.3980395369979995e-06,1e-05
0.3328994374436712,9.324703010939998e-07,1e-05
0.362131941411393,6.358580083619999e-07,1e-05
0.393931404622978,4.387677292579999e-07,1e-05
0.4285232364298429,3.2125965715699997e-07,1e-05
0.4661526397877741,2.3944280905999995e-07,1e-05
0.5070863493692626,1.8383190864299998e-07,1e-05
0.5516145223026361,1.4595868744399997e-07,1e-05
0.60005279494043,1.1657722152399997e-07,1e-05
0.6527445202363213,9.459393949099997e-08,1e-05
0.7100632015901926,7.585138741e-08,1e-05
0.7724151404135521,5.754839691999999e-08,1e-05
0.8338376090984427,3.871565167499999e-08,1e-05
0.8830890620570094,2.4736391162999992e-08,1e-05
0.9165722626236964,1.4586687460999997e-08,1e-05
0.949672084312072,8.295410113007699e-09,1e-05
0.9980990174443256,4.8508552828731444e-09,1e-05
1.0083339462612304,3.606332584960973e-09,1e-05
1.073353543795782,7.670127927545711e-09,1e-05
1.1542821001156107,1.1915151914999999e-08,1e-05
1.2460706377016573,1.9078552689999995e-08,1e-05
1.350314399936784,2.8785671816999996e-08,1e-05
1.4688879588377448,2.8573649629999994e-08,1e-05
1.5978736772114168,2.1937382746999996e-08,1e-05
1.738185865683963,1.6976057622999996e-08,1e-05
1.890819122157525,1.3084960124999997e-08,1e-05
2.056855381981685,1.0105695286999998e-08,1e-05
2.237471587213283,7.789359744688954e-09,1e-05
2.433948029327859,6.003953563495885e-09,1e-05
2.647677424519746,4.9494027855581374e-09,1e-05
2.847306626664305,3.8186220189995475e-09,1e-05
2.958350244547776,2.305040415332609e-09,1e-05
3.157153414429003,1.4065892706467029e-09,1e-05
3.408210322282125,9.096116003645671e-10,1e-05
3.707491458153076,6.63377959554454e-10,1e-05
4.033053013897949,5.072986075737098e-10,1e-05
4.387202720896937,4.083949394386148e-10,1e-05
4.772450956612321,3.393350782205474e-10,1e-05
5.191528539308848,2.904361366027015e-10,1e-05
5.647406085360772,2.5354489608696757e-10,1e-05
6.143315066359213,2.2353743194045995e-10,1e-05
6.682770715282313,1.970814015573624e-10,1e-05
7.269596944097796,1.75481844361118e-10,1e-05
7.90795344942543,1.565586151787128e-10,1e-05
8.602365198396932,1.3885037403581308e-10,1e-05
9.357754503722749,1.193123539165569e-10,1e-05
9.98660203850638,7.613252404538694e-11,1e-05
10.536084252913692,4.632833084270371e-11,1e-05
11.330482420023682,2.933440338318534e-11,1e-05
12.325432651369711,2.1099622189932432e-11,1e-05
13.407751268823125,1.6555196341739858e-11,1e-05
14.585110248981865,1.3837493768547225e-11,1e-05
15.865855258637117,1.2032204216606961e-11,1e-05
17.259064812732227,1.0692358457055318e-11,1e-05
18.774614627089395,9.634062382163336e-12,1e-05
20.423247622066132,8.78404990368908e-12,1e-05
22.21665007335996,8.056656223350415e-12,1e-05
24.167534449753276,7.433435357841714e-12,1e-05
26.28972952499129,6.912851636440743e-12,1e-05
28.598278402547383,6.390726109733204e-12,1e-05
31.10954514812107,5.94316615656167e-12,1e-05
33.84133078572927,5.5598136743203754e-12,1e-05
36.81299947962488,5.139882682629809e-12,1e-05
40.04561579647867,4.798851807737992e-12,1e-05
43.56209402080282,4.4627751470472376e-12,1e-05
47.38736058203232,4.142041446280128e-12,1e-05
51.54853074462389,3.859582601346811e-12,1e-05
56.07510081363287,3.5821995447602914e-12,1e-05
59.843386132014345,3.385944635169305e-12,1e-05
